comparison,control,candidate,split,pathway,metric,control_value,candidate_value,delta_candidate_better
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Unfolded_Protein_Response,abs_moran_delta,0.17525156412376452,0.17948241582916463,-0.004230851705400107
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,mTOR_Signaling,pcc,0.648115128320547,0.6315622857015288,-0.016552842619018127
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,mTOR_Signaling,ccc,0.5749907886104223,0.5768085884078376,0.0018177997974152538
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,mTOR_Signaling,z_rmse,0.5204661778274398,0.5286179056440073,-0.008151727816567589
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,mTOR_Signaling,ssim,0.3661505394799197,0.34497652998131867,-0.021174009498601043
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,mTOR_Signaling,abs_moran_delta,0.025999859500052847,0.021702767437429882,0.004297092062622965
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Interferon_Alpha,pcc,0.20932015334065684,0.18054135338360225,-0.028778799957054596
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Interferon_Alpha,ccc,0.0559134734491635,0.04879102212860484,-0.007122451320558665
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Interferon_Alpha,z_rmse,1.150906101974695,1.1576324361543466,-0.006726334179651738
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Interferon_Alpha,ssim,-0.12307036753817294,-0.11481842379739707,0.008251943740775869
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Interferon_Alpha,abs_moran_delta,0.306340344463761,0.29752217328796965,0.008818171175791367
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Angiogenesis,pcc,0.6413749324473383,0.609683329614868,-0.0316916028324703
lora_s0_vs_lora_s1,lora_s0,lora_s1,external_test,Angiogenesis,ccc,0.5247685227145684,0.4949750087796031,-0.02979351393496532
