experiment,arm,evidence_status,split,comparison_split,metric,mean,median,q1,q3,iqr,min,max,valid_pathways,baseline,fbr_mean,delta_candidate_better,delta_definition
w007_hcr,HCR,accepted,XZY,external_xzy,raw_r2,-0.08265366882375587,0.07806435039748927,-0.2830210163295792,0.2679052775277069,0.5509262938572861,-2.545691854039656,0.6139640309814474,30,w007_fbr,-0.08801664134310691,0.005362972519351042,candidate_mean-FBR_mean (positive=candidate_better)
w007_hcr,HCR,accepted,XZY,external_xzy,ssim,0.31018128546592494,0.26150996400455506,0.18217519681058872,0.45909574042496637,0.2769205436143777,-0.0878450384397026,0.7138310835942864,30,w007_fbr,0.3093753110282321,0.0008059744376928135,candidate_mean-FBR_mean (positive=candidate_better)
w007_hcr,HCR,accepted,XZY,external_xzy,z_mae,0.6184862747528764,0.612672246087036,0.4198606328435822,0.7494236100652736,0.32956297722169137,0.185852695126947,1.167686849326313,30,w007_fbr,0.6191226720887658,0.0006363973358893826,FBR_mean-candidate_mean (positive=candidate_better)
w007_hcr,HCR,accepted,XZY,external_xzy,z_rmse,0.7658811533810843,0.7192313939056945,0.5319737750028728,0.9086116681233947,0.37663789312052187,0.3772096529901744,1.4378570039471554,30,w007_fbr,0.7672245654708524,0.0013434120897680701,FBR_mean-candidate_mean (positive=candidate_better)
w007_rcc,RCC,accepted,XZY,external_xzy,abs_moran_delta,0.1062827522990963,0.09173278740630669,0.03763332429588165,0.14709120022351074,0.1094578759276291,0.007061810331828622,0.3564588877800712,30,w007_fbr,0.10762428980820607,0.001341537509109772,FBR_mean-candidate_mean (positive=candidate_better)
w007_rcc,RCC,accepted,XZY,external_xzy,ccc,0.39783247115887393,0.3849482753149539,0.2972572551194377,0.5219392180913288,0.22468196297189114,0.06087929220634616,0.7404156830083796,30,w007_fbr,0.3988582103332689,-0.0010257391743949684,candidate_mean-FBR_mean (positive=candidate_better)
w007_rcc,RCC,accepted,XZY,external_xzy,nrmse_sigma_train,0.7675126765494,0.730633256498435,0.5470724525344361,0.911511949056318,0.3644394965218819,0.3769271424991154,1.4356312308311052,30,w007_fbr,0.7672245654708524,-0.00028811107854764817,FBR_mean-candidate_mean (positive=candidate_better)
w007_rcc,RCC,accepted,XZY,external_xzy,pcc,0.5164818422187001,0.5507291265722859,0.391536725764235,0.6391012534365784,0.24756452767234344,0.1827819989385098,0.7774502106103334,30,w007_fbr,0.519386206636611,-0.002904364417910865,candidate_mean-FBR_mean (positive=candidate_better)
w007_rcc,RCC,accepted,XZY,external_xzy,raw_mae,1177.1066842150624,1125.3751936539134,870.4438952769838,1352.784400456545,482.3405051795612,409.02540701775416,2046.2750131325881,30,w007_fbr,1176.211373424824,-0.8953107902384545,FBR_mean-candidate_mean (positive=candidate_better)
w007_rcc,RCC,accepted,XZY,external_xzy,raw_r2,-0.08757129572040458,0.07595578668824077,-0.2818654828247897,0.2770335456725609,0.5588990284973505,-2.513813884785724,0.5968140052208439,30,w007_fbr,-0.08801664134310691,0.0004453456227023339,candidate_mean-FBR_mean (positive=candidate_better)
w007_rcc,RCC,accepted,XZY,external_xzy,ssim,0.30977443952357425,0.2598780252958487,0.1782117426347838,0.4592182908663637,0.2810065482315799,-0.07819461068171206,0.7078404612050951,30,w007_fbr,0.3093753110282321,0.000399128495342127,candidate_mean-FBR_mean (positive=candidate_better)
w007_rcc,RCC,accepted,XZY,external_xzy,z_mae,0.6195923964342218,0.6135776592724715,0.42718537171138193,0.7438546355110208,0.3166692637996389,0.18516789908010847,1.1708633397812072,30,w007_fbr,0.6191226720887658,-0.00046972434545600183,FBR_mean-candidate_mean (positive=candidate_better)
w007_rcc,RCC,accepted,XZY,external_xzy,z_rmse,0.7675126765494001,0.730633256498435,0.547072452534436,0.9115119490563182,0.3644394965218821,0.3769271424991154,1.435631230831105,30,w007_fbr,0.7672245654708524,-0.0002881110785477592,FBR_mean-candidate_mean (positive=candidate_better)
lora_dropout10,LoRA_dropout10,accepted_smoke,internal_val,internal_val,abs_moran_delta,0.16429395501715854,0.13289042344627666,0.10694119210985026,0.2414752961891102,0.13453410407925995,0.0730957195129058,0.30836345466625636,30,w007_fbr,0.1715496360135799,0.007255680996421349,FBR_mean-candidate_mean (positive=candidate_better)
lora_dropout10,LoRA_dropout10,accepted_smoke,internal_val,internal_val,ccc,0.606015778473111,0.6282233076861776,0.5312239239235836,0.692955617823992,0.1617316939004083,0.3492073503764128,0.8356216562164994,30,w007_fbr,0.6078239843350842,-0.0018082058619731667,candidate_mean-FBR_mean (positive=candidate_better)
lora_dropout10,LoRA_dropout10,accepted_smoke,internal_val,internal_val,nrmse_sigma_train,0.6017579757611973,0.6001642437689807,0.5513902737564299,0.6433460216055691,0.09195574784913918,0.42558498291039587,0.9027794793344707,30,w007_fbr,0.595960664292921,-0.005797311468276223,FBR_mean-candidate_mean (positive=candidate_better)
lora_dropout10,LoRA_dropout10,accepted_smoke,internal_val,internal_val,pcc,0.6651214404150172,0.6924988286233409,0.5892705193925447,0.7407417952945387,0.15147127590199394,0.4382714489996,0.8680504818341224,30,w007_fbr,0.6673692342133599,-0.002247793798342723,candidate_mean-FBR_mean (positive=candidate_better)
lora_dropout10,LoRA_dropout10,accepted_smoke,internal_val,internal_val,raw_mae,899.2618709447472,846.4395178629327,798.1469766140283,1007.9494569054823,209.802480291454,540.977661051564,1665.113315475699,30,w007_fbr,887.7433103903018,-11.518560554445457,FBR_mean-candidate_mean (positive=candidate_better)
lora_dropout10,LoRA_dropout10,accepted_smoke,internal_val,internal_val,raw_r2,0.1870265584822142,0.42736521695559004,0.2968416560446684,0.497640619289369,0.2007989632447006,-6.579566702748256,0.7127102707699852,30,w007_fbr,0.14269255869469882,0.04433399978751537,candidate_mean-FBR_mean (positive=candidate_better)
lora_dropout10,LoRA_dropout10,accepted_smoke,internal_val,internal_val,ssim,,,,,,,,0,w007_fbr,,,candidate_mean-FBR_mean (positive=candidate_better)
lora_dropout10,LoRA_dropout10,accepted_smoke,internal_val,internal_val,z_mae,0.4622084791357744,0.4613851811368038,0.4085081143675778,0.4985925422906211,0.09008442792304333,0.3277781179603194,0.6889419142286236,30,w007_fbr,0.45681356667509454,-0.005394912460679857,FBR_mean-candidate_mean (positive=candidate_better)
lora_dropout10,LoRA_dropout10,accepted_smoke,internal_val,internal_val,z_rmse,0.6017579757611973,0.6001642437689807,0.5513902737564299,0.6433460216055691,0.09195574784913918,0.42558498291039587,0.9027794793344706,30,w007_fbr,0.595960664292921,-0.005797311468276223,FBR_mean-candidate_mean (positive=candidate_better)
lora_s0,S0,accepted_smoke,internal_val,internal_val,abs_moran_delta,0.1658790473366452,0.1400139064430012,0.10145310577073122,0.2404014271942555,0.13894832142352428,0.07679103570444297,0.326999613268183,30,w007_fbr,0.1715496360135799,0.005670588676934679,FBR_mean-candidate_mean (positive=candidate_better)
lora_s0,S0,accepted_smoke,internal_val,internal_val,ccc,0.610396707332439,0.6344571501685365,0.5147298146945768,0.7013401256826101,0.18661031098803327,0.36865962069979824,0.8424874722558952,30,w007_fbr,0.6078239843350842,0.0025727229973547816,candidate_mean-FBR_mean (positive=candidate_better)
lora_s0,S0,accepted_smoke,internal_val,internal_val,nrmse_sigma_train,0.5992795737466152,0.5946021410277716,0.5468132465471663,0.6358117774909126,0.08899853094374621,0.41726554777374764,0.8953852520788924,30,w007_fbr,0.595960664292921,-0.0033189094536941743,FBR_mean-candidate_mean (positive=candidate_better)
lora_s0,S0,accepted_smoke,internal_val,internal_val,pcc,0.6673129123928399,0.6931489015520984,0.5858284502776067,0.746755723825782,0.16092727354817538,0.450799317997463,0.8699869701020106,30,w007_fbr,0.6673692342133599,-5.632182052006662e-05,candidate_mean-FBR_mean (positive=candidate_better)
lora_s0,S0,accepted_smoke,internal_val,internal_val,raw_mae,890.6956649725121,845.081743728714,788.2294284711134,996.9611453830429,208.73171691192954,549.7261210528882,1644.5938134463952,30,w007_fbr,887.7433103903018,-2.9523545822103188,FBR_mean-candidate_mean (positive=candidate_better)
lora_s0,S0,accepted_smoke,internal_val,internal_val,raw_r2,0.18403153351791637,0.4280612346477247,0.28922712053011296,0.5183661423479453,0.22913902181783236,-6.800712214679797,0.7240513121337971,30,w007_fbr,0.14269255869469882,0.04133897482321755,candidate_mean-FBR_mean (positive=candidate_better)
