sampling_method,calibration_fraction,repeat,seed,pathway,intercept_z,intercept_raw,baseline_raw_r2,calibrated_raw_r2,delta_raw_r2,baseline_raw_mae,calibrated_raw_mae
spatial_stratified,0.02,103,20260828,Angiogenesis,-0.461079559156,-814.767898569,0.316236846125,0.377981746554,0.0617449004289,1221.68187531,1088.34928604
spatial_stratified,0.02,103,20260828,Apoptosis,0.210336583711,328.602074248,0.0849397804395,0.159192833923,0.074253053483,768.769906132,720.74547288
spatial_stratified,0.02,103,20260828,TNF_Signaling,0.0604544438067,132.314120346,-0.300281412945,-0.203343047024,0.0969383659212,1355.58622872,1288.58827474
spatial_stratified,0.02,103,20260828,ECM_Organization,-0.143583343941,-455.05840007,0.529662521861,0.512122513846,-0.0175400080158,1081.87133499,1141.09268039
spatial_stratified,0.02,104,20260829,tls,-0.0240626370623,-38.0494358228,0.386412860711,0.383497755703,-0.00291510500743,1180.91079886,1173.93933817
spatial_stratified,0.02,104,20260829,tgfb,0.0222450863747,37.6767540242,0.0763163324565,0.0985728120233,0.0222564795668,842.272611942,828.010691261
spatial_stratified,0.02,104,20260829,emt,-0.139707982185,-300.171327018,0.170536942759,0.293824953661,0.123288010902,873.894684508,803.233255728
spatial_stratified,0.02,104,20260829,hypoxia,0.0930849208186,233.901442374,0.0401191928621,0.0153188320155,-0.0248003608466,1144.36789532,1162.98024579
spatial_stratified,0.02,104,20260829,mhc,-0.155705818818,-343.945339518,0.213132201778,0.1998479896,-0.0132842121783,424.140216391,447.370042864
spatial_stratified,0.02,104,20260829,icp,0.82118595835,1245.62949272,-0.304314118607,0.0789873488784,0.383301467486,1730.24740811,1504.09435455
spatial_stratified,0.02,104,20260829,ifng,0.116064481939,336.949017177,-0.379678271466,-0.235260852687,0.14441741878,1841.21734126,1742.88930783
spatial_stratified,0.02,104,20260829,toxic,0.201815309092,387.086267458,0.120181943026,0.137893304971,0.0177113619451,1595.82948111,1641.97276528
spatial_stratified,0.02,104,20260829,Glycolysis,0.648636744136,1127.25444007,-0.398829980433,0.313267850849,0.712097831282,1026.49219763,644.459430043
spatial_stratified,0.02,104,20260829,Inflammatory_Response,-0.148391732813,-283.644688379,0.193559567731,0.170406523593,-0.0231530441379,1348.87513779,1338.74872405
spatial_stratified,0.02,104,20260829,IL6_JAK_STAT3,0.459155437492,903.256762,-0.327858283112,0.304918333218,0.632776616331,1214.53078409,739.575449942
spatial_stratified,0.02,104,20260829,P53_Pathway,0.531427575541,891.173948314,-0.280510059379,0.314273926767,0.594783986145,1200.97522005,775.438187361
spatial_stratified,0.02,104,20260829,DNA_Damage_Response,0.484184858877,711.995466642,-0.170562717557,0.239422458408,0.409985175965,1081.21380553,829.783931301
spatial_stratified,0.02,104,20260829,Complement,0.722593365681,1262.84998309,-1.73243700837,-0.208285040998,1.52415196737,2068.15779319,1307.21518891
spatial_stratified,0.02,104,20260829,Coagulation,-0.0803547091339,-79.8902534887,0.125205996665,0.105023380231,-0.0201826164338,553.99151222,562.901028928
spatial_stratified,0.02,104,20260829,Oxidative_Phosphorylation,-0.0205440166451,-49.9662143499,0.614260584795,0.609113380861,-0.00514720393346,698.084333479,706.664961129
spatial_stratified,0.02,104,20260829,Reactive_Oxygen_Species,0.509658860309,577.716130018,-0.527632480303,0.0424559269508,0.570088407254,851.176965409,613.567676989
spatial_stratified,0.02,104,20260829,Wound_Healing,-0.0049178373246,-9.83925314111,0.339754481363,0.336538719281,-0.00321576208261,808.919431076,811.112713765
spatial_stratified,0.02,104,20260829,Fibrosis,-0.0329570276219,-91.4740047163,0.515440707292,0.506919071843,-0.00852163544923,1074.09882205,1089.82152756
spatial_stratified,0.02,104,20260829,MYC_Targets,0.108932766176,344.632000741,0.40331794572,0.5408762257,0.137558279979,984.456755997,809.805151037
spatial_stratified,0.02,104,20260829,E2F_Targets,0.291824588463,591.075847848,-0.0106512667272,0.335976135048,0.346627401775,1234.51608872,954.239245413
spatial_stratified,0.02,104,20260829,G2M_Checkpoint,0.663834820812,1428.9193269,-0.199398717853,0.441929088926,0.641327806779,1900.67604427,1160.21700983
spatial_stratified,0.02,104,20260829,Mitotic_Spindle,0.495456821507,914.327095724,-0.109915280346,0.368686404191,0.478601684537,1542.46415622,1088.18870622
spatial_stratified,0.02,104,20260829,Unfolded_Protein_Response,0.186015525744,357.644740854,0.135908098095,0.318970972683,0.183062874587,1008.22848971,841.969940067
spatial_stratified,0.02,104,20260829,mTOR_Signaling,0.00219955401761,3.96329984386,0.388100338565,0.389605073544,0.00150473497889,734.202576355,733.066820829
spatial_stratified,0.02,104,20260829,Interferon_Alpha,0.795545865471,1480.44551795,-2.72317840538,-0.14088851488,2.5822898905,1905.7443601,957.877098965
spatial_stratified,0.02,104,20260829,Angiogenesis,-0.386837469148,-683.575633677,0.317125992661,0.397757947,0.0806319543391,1217.06487411,1081.96968809
spatial_stratified,0.02,104,20260829,Apoptosis,0.000364606933934,0.569613676625,0.0893334295339,0.0896574038984,0.000323974364491,759.069010615,758.8899572
spatial_stratified,0.02,104,20260829,TNF_Signaling,0.0984503105283,215.474089499,-0.286020498501,-0.139473189597,0.146547308904,1357.38645662,1253.8700553
spatial_stratified,0.02,104,20260829,ECM_Organization,-0.0962901250459,-305.172097566,0.534189577165,0.534003696018,-0.000185881146622,1077.479157,1105.76335732
spatial_stratified,0.02,105,20260830,tls,0.00694306020714,10.9788267629,0.388912962433,0.389648669393,0.00073570695969,1175.64760863,1177.68727333
spatial_stratified,0.02,105,20260830,tgfb,0.535856375027,907.585994232,0.0967236623784,-0.0492471017251,-0.145970764103,845.310380443,841.704411591
spatial_stratified,0.02,105,20260830,emt,-0.114101084703,-245.153308163,0.170205933676,0.280651584521,0.110445650845,871.737105158,807.66438236
spatial_stratified,0.02,105,20260830,hypoxia,0.0327739360787,82.3535203516,0.0429782526444,0.0401382259342,-0.00284002671017,1151.35460085,1154.15140871
spatial_stratified,0.02,105,20260830,mhc,-0.199668659784,-441.056766549,0.23567944379,0.165514172044,-0.0701652717461,421.048534498,500.727259202
spatial_stratified,0.02,105,20260830,icp,1.09039066093,1653.97709499,-0.302490629642,0.0231414160072,0.325632045649,1713.4771871,1553.98426254
spatial_stratified,0.02,105,20260830,ifng,0.3340581734,969.81067185,-0.375522806456,-0.114791635102,0.260731171354,1841.26083197,1684.19829759
spatial_stratified,0.02,105,20260830,toxic,0.15513034768,297.543469439,0.117663771554,0.136864363804,0.0192005922495,1599.09224209,1627.82447777
spatial_stratified,0.02,105,20260830,Glycolysis,0.542185757841,942.255134932,-0.391382058699,0.364178090921,0.75556014962,1029.83811266,628.677209213
spatial_stratified,0.02,105,20260830,Inflammatory_Response,0.0920953285836,176.036429268,0.195799106588,0.187619291607,-0.00817981498094,1342.83395728,1368.32449767
spatial_stratified,0.02,105,20260830,IL6_JAK_STAT3,0.559422425571,1100.50333166,-0.319106011546,0.296210845822,0.615316857368,1216.87752286,727.55034834
spatial_stratified,0.02,105,20260830,P53_Pathway,0.645184785837,1081.93834767,-0.264481953976,0.305425674725,0.569907628701,1208.38257358,778.396256399
spatial_stratified,0.02,105,20260830,DNA_Damage_Response,0.530235169899,779.712604185,-0.156185828074,0.251275202601,0.407461030675,1078.80904296,820.876683637
spatial_stratified,0.02,105,20260830,Complement,1.17891984832,2060.35507829,-1.69425790342,-0.0629144257584,1.63134347766,2057.89280946,1138.68791884
spatial_stratified,0.02,105,20260830,Coagulation,0.132490134332,131.724332409,0.143673512441,0.126208462369,-0.0174650500723,548.562180455,551.884000763
spatial_stratified,0.02,105,20260830,Oxidative_Phosphorylation,0.0494546586914,120.281350987,0.612704824137,0.615904632653,0.00319980851584,701.969720559,692.697576875
spatial_stratified,0.02,105,20260830,Reactive_Oxygen_Species,0.608157432505,689.367703989,-0.520545446501,0.0343627504526,0.554908196953,854.767136248,610.352517398
spatial_stratified,0.02,105,20260830,Wound_Healing,0.330203244773,660.646763789,0.341143307573,0.265392209384,-0.075751098189,806.571124743,848.854568608
spatial_stratified,0.02,105,20260830,Fibrosis,0.213903701022,593.701239704,0.514076778026,0.455315123361,-0.0587616546649,1075.22174651,1089.60670522
spatial_stratified,0.02,105,20260830,MYC_Targets,0.278678317155,881.658195008,0.414642478405,0.5818094805,0.167167002094,980.167394859,758.681064297
spatial_stratified,0.02,105,20260830,E2F_Targets,0.43623812266,883.57810962,0.00506145831082,0.397791871523,0.392730413212,1230.2503176,890.816525764
spatial_stratified,0.02,105,20260830,G2M_Checkpoint,0.664748389096,1430.8858031,-0.194868268482,0.448142147428,0.64301041591,1895.48768934,1157.9983144
spatial_stratified,0.02,105,20260830,Mitotic_Spindle,0.603798866272,1114.26392742,-0.0996412274725,0.403260753159,0.502901980632,1538.92830549,1039.11297522
spatial_stratified,0.02,105,20260830,Unfolded_Protein_Response,0.458983821528,882.470155381,0.148364711671,0.321894421489,0.173529709818,1009.71249067,792.615305842
spatial_stratified,0.02,105,20260830,mTOR_Signaling,-0.0361281505653,-65.0980573097,0.388142201528,0.360272461502,-0.0278697400268,736.372367505,757.184732706
spatial_stratified,0.02,105,20260830,Interferon_Alpha,1.11575906706,2076.33598719,-2.67121535411,-0.138034683321,2.53318067079,1900.54547963,878.302752632
spatial_stratified,0.02,105,20260830,Angiogenesis,-0.178869644801,-316.078303013,0.31643414695,0.389904927593,0.0734707806431,1223.15726487,1128.09311175
spatial_stratified,0.02,105,20260830,Apoptosis,0.155278672775,242.586872241,0.0902284757016,0.16510342363,0.0748749479282,772.929981035,727.419297789
spatial_stratified,0.02,105,20260830,TNF_Signaling,0.394621325258,863.691239777,-0.273130077625,0.0393111855418,0.312441263167,1358.11696216,1095.8493199
spatial_stratified,0.02,105,20260830,ECM_Organization,0.0598912959297,189.813362441,0.53168481707,0.508128522573,-0.0235562944975,1080.75904054,1094.68769887
spatial_stratified,0.02,106,20260831,tls,0.182432584819,288.474488897,0.391077628018,0.392305137321,0.00122750930267,1177.73302,1253.99223995
spatial_stratified,0.02,106,20260831,tgfb,0.0220246669792,37.3034272046,0.0832390177529,0.105160870317,0.0219218525638,840.959257604,827.00429086
spatial_stratified,0.02,106,20260831,emt,-0.333635574118,-716.836872574,0.174964248442,0.26569197983,0.0907277313879,868.305186517,832.68733937
spatial_stratified,0.02,106,20260831,hypoxia,-0.0803999010296,-202.026844436,0.0407171798119,0.0209571125477,-0.0197600672641,1144.44791512,1156.40152537
spatial_stratified,0.02,106,20260831,mhc,-0.0807527658485,-178.378288478,0.220741365796,0.247808417836,0.0270670520399,427.60558836,403.393637597
spatial_stratified,0.02,106,20260831,icp,0.732829435773,1111.60444117,-0.311489795982,0.0764822848348,0.387972080817,1725.67293613,1485.44388344
spatial_stratified,0.02,106,20260831,ifng,0.228801490783,664.237983578,-0.376945671628,-0.14887415046,0.228071521168,1849.67361675,1697.41422442
spatial_stratified,0.02,106,20260831,toxic,0.267949846351,513.933786079,0.114337791724,0.124296705747,0.00995891402272,1596.41726001,1668.03297086
spatial_stratified,0.02,106,20260831,Glycolysis,0.405574792907,704.841331018,-0.398158836012,0.3308429142,0.729001750213,1033.9991573,654.247634306
spatial_stratified,0.02,106,20260831,Inflammatory_Response,-0.0100024221022,-19.1192180751,0.188540383309,0.188385832182,-0.000154551126621,1353.81469896,1352.00364357
spatial_stratified,0.02,106,20260831,IL6_JAK_STAT3,0.489978202042,963.891719641,-0.314359749282,0.315472601171,0.629832350454,1212.87523913,731.262944591
spatial_stratified,0.02,106,20260831,P53_Pathway,0.514972266697,863.579327281,-0.27654676302,0.316065023859,0.592611786879,1200.02219527,777.588425114
spatial_stratified,0.02,106,20260831,DNA_Damage_Response,0.574163025511,844.308663896,-0.155883738601,0.248147521113,0.404031259714,1074.95276059,816.416883491
spatial_stratified,0.02,106,20260831,Complement,0.99331945855,1735.98806883,-1.71627312041,-0.0392794304657,1.67699368995,2059.48716054,1160.67559498
spatial_stratified,0.02,106,20260831,Coagulation,0.204487770796,203.305817672,0.1247286187,0.0710694806154,-0.0536591380845,555.072848929,569.541184582
spatial_stratified,0.02,106,20260831,Oxidative_Phosphorylation,-0.105628438649,-256.904640322,0.621017247595,0.571810424504,-0.0492068230917,698.342416787,771.877937369
spatial_stratified,0.02,106,20260831,Reactive_Oxygen_Species,0.466650791466,528.964980914,-0.533736277939,0.0273656319936,0.561101909932,853.212764599,624.377956164
spatial_stratified,0.02,106,20260831,Wound_Healing,0.020115897636,40.2464327177,0.337593472722,0.349410145433,0.0118166727107,810.076297886,802.074696524
spatial_stratified,0.02,106,20260831,Fibrosis,-0.109751904227,-304.622319709,0.512278306731,0.465397807991,-0.0468804987391,1072.27970071,1140.02915587
spatial_stratified,0.02,106,20260831,MYC_Targets,0.221224099398,699.889543464,0.415790533744,0.596306325204,0.18051579146,981.352818329,739.486665058
spatial_stratified,0.02,106,20260831,E2F_Targets,0.462031451719,935.821184552,0.0106144279305,0.402172216938,0.391557789008,1226.99757589,889.939392968
spatial_stratified,0.02,106,20260831,G2M_Checkpoint,0.814523217934,1753.2794783,-0.184087380009,0.45194566596,0.636033045969,1893.06653069,1120.85696775
spatial_stratified,0.02,106,20260831,Mitotic_Spindle,0.709204186996,1308.78126291,-0.0916184064579,0.406901633763,0.498520040221,1535.94924835,1016.84103651
spatial_stratified,0.02,106,20260831,Unfolded_Protein_Response,0.272206296523,523.360348495,0.150225670201,0.363675973508,0.213450303307,1005.8457142,795.76679305
spatial_stratified,0.02,106,20260831,mTOR_Signaling,0.0910925301058,164.136460143,0.394027641701,0.436244807405,0.0422171657043,734.09057978,698.254044556
spatial_stratified,0.02,106,20260831,Interferon_Alpha,1.04413662177,1943.05249881,-2.64257066005,-0.0805755821451,2.56199507791,1903.87830854,871.570715593
spatial_stratified,0.02,106,20260831,Angiogenesis,-0.451114974295,-797.159605801,0.320166436511,0.385108357547,0.064941921036,1218.7727983,1084.59785749
spatial_stratified,0.02,106,20260831,Apoptosis,0.190648065259,297.843335621,0.0981021637672,0.175690064783,0.0775879010162,761.667405558,713.913073708
