analysis_id,analysis_class,evidence_status,attempt_id,arm,analysis_card_id,task,seed,fold,split,n,n_positive,n_negative,auc,auprc,brier,calibration_intercept,calibration_slope,calibration_status,calibration_reason
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,1,4,test,31,15,16,0.8833333333333333,0.91007548007548,0.1599996532575115,-0.489436165004616,2.2218239150400856,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,1,4,validation,31,15,16,0.7333333333333334,0.7691547050317664,0.2009409473642814,0.08768627884858131,1.0326627156906698,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,2,0,test,31,15,16,0.9791666666666666,0.9790616246498598,0.08194191927709009,-0.5502925461313921,3.370746630481059,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,2,0,validation,31,15,16,0.9583333333333334,0.9733333333333332,0.06758049168442173,-0.4533567931158338,1.9288211283628058,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,2,1,test,31,15,16,0.7791666666666668,0.8515032679738561,0.16935116022051552,0.28520239263421665,0.6520855512976912,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,2,1,validation,31,15,16,0.7374999999999999,0.8410238547811697,0.19230150226098794,0.42144858759161374,0.5876278091731083,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,2,2,test,31,15,16,0.925,0.9407492160352571,0.14444869847538047,-0.5672268246383705,3.3400013878212675,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,2,2,validation,31,15,16,0.6458333333333333,0.6915821283057788,0.2320386403297679,-0.03527729084854713,0.8179846372521795,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,2,3,test,31,15,16,0.925,0.929311320487791,0.11832641612263868,0.07383987379242161,2.5693986269995177,computed,
phase2_phase3_reanalysis_v002,exploratory_reanalysis,pending_user_review,A002,ORD,S2-ORD-SLIDE-001,MPR,2,3,validation,31,15,16,0.8,0.8451862562388877,0.17908917493630974,-0.19045896291661416,0.7735393411053105,computed,
