pathway,prediction_decile,n_patches,mean_true,mean_prediction,mean_residual_pred_minus_true,mae
Angiogenesis,4,104,294.9015437023097,979.477489738602,684.5759460362922,1063.10853264488
Angiogenesis,5,104,302.7012623529727,1193.387566959847,890.6863046068743,1172.2074750471975
Angiogenesis,6,103,377.9695630777903,1415.2247220317588,1037.255158953968,1363.1381802667981
Angiogenesis,7,104,990.7151144099225,1699.145086471909,708.4299720619864,1385.1981941339993
Angiogenesis,8,104,1114.2769210473334,2053.6153555730893,939.3384345257557,1504.3282871933484
Angiogenesis,9,104,2210.7025494975455,2565.7637138295013,355.0611643319554,1718.7832283048158
Angiogenesis,10,104,3867.455391514293,3728.656343975653,-138.7990475386396,1632.5323620796496
Apoptosis,1,104,1490.635404080573,1114.8221514097172,-375.81325267085555,990.3170240596994
Apoptosis,2,104,2280.6866977682835,1808.3340926459637,-472.3526051223199,998.772620399081
Apoptosis,3,104,2478.3530405145825,2037.468492512014,-440.8845480025681,885.3963895303024
Apoptosis,4,104,2669.903328553284,2179.7525549615148,-490.1507735917698,907.8909836173323
Apoptosis,5,104,2770.938839515802,2297.6856712042204,-473.2531683115818,801.0682605757063
Apoptosis,6,103,2687.1745854820847,2417.4802557158823,-269.69432976620254,745.2743954845939
Apoptosis,7,104,2710.5214746464453,2540.4937223705883,-170.02775227585695,636.3812890826126
Apoptosis,8,104,2829.32428532287,2658.5832247286226,-170.7410605942468,567.2020640834091
Apoptosis,9,104,2850.696519229323,2795.395587160045,-55.300932069278254,600.0823019669348
Apoptosis,10,104,3007.962866677743,3097.160909228631,89.19804255088813,543.1158510765243
TNF_Signaling,1,104,677.965685906958,-302.708764319055,-980.674450226013,1642.6744651619147
TNF_Signaling,2,104,1674.7698619951675,301.3942311254686,-1373.3756308696986,1547.675488807215
TNF_Signaling,3,104,1726.3856360991228,538.1565526816121,-1188.2290834175105,1454.8245810906215
TNF_Signaling,4,104,1779.863324332861,726.7458286227281,-1053.117495710133,1289.5404381349738
TNF_Signaling,5,104,1887.3588878710132,919.5609030949342,-967.7979847760793,1315.346885107127
TNF_Signaling,6,103,1863.6836319474064,1124.3737732047791,-739.3098587426283,1160.0179247542421
TNF_Signaling,7,104,2231.6098150682174,1331.5606301459013,-900.0491849223157,1335.7097457215468
TNF_Signaling,8,104,2202.8533646574706,1543.189862431624,-659.6635022258469,1291.040946801114
TNF_Signaling,9,104,2225.46649748519,1806.2789913244378,-419.1875061607517,1236.0164025969475
TNF_Signaling,10,104,2418.339733383033,2461.8616873076044,43.52195392457137,1284.4480371312986
ECM_Organization,1,104,3117.442691419361,3192.8253021009104,75.38261068154921,1041.4023589465464
ECM_Organization,2,104,4317.897675630491,4226.324145397025,-91.57353023346612,1280.5421589606208
ECM_Organization,3,104,4771.401888167428,5024.53966310194,253.1377749345124,1351.0942758123633
ECM_Organization,4,104,5404.655055200516,5631.345413502232,226.6903583017156,1278.3954683991308
ECM_Organization,5,104,5870.428917595266,6080.839628282263,210.41071068699665,1374.11725139299
ECM_Organization,6,103,6391.20994322666,6463.058132866854,71.8481896401918,1122.7546672556387
ECM_Organization,7,104,6756.821757051502,6813.1833061051775,56.36154905367576,1015.8873626652531
ECM_Organization,8,104,7192.179153474301,7198.314582341487,6.135428867185711,872.1663978808023
