grid_size_px,cell_x,cell_y,pathway,n_patches,bias,mae,raw_r2
1024,13,9,Unfolded_Protein_Response,6,1013.1277086815338,1145.3107826648725,-0.6082858330834191
1024,13,9,mTOR_Signaling,6,855.1301358955185,1024.0800226579759,-7.786958265042271
1024,13,9,Interferon_Alpha,6,186.80703014611106,538.0018128805599,-0.1982550546807904
1024,13,9,Angiogenesis,6,1053.0675925206608,1068.811324041093,-60.772684676243564
1024,13,9,Apoptosis,6,524.1209030151053,682.6278965622272,-1.9656913863643601
1024,13,9,TNF_Signaling,6,1778.2558554039053,1778.2558554039053,-9.078274404336401
1024,13,9,ECM_Organization,6,1947.0520620720047,2078.237779790194,-26.03699851223022
1024,13,10,tls,3,-777.8829368150606,777.8829368150606,-2294.6681287428387
1024,13,10,tgfb,3,1315.5752194424406,1315.5752194424406,-3864.0574108153373
1024,13,10,emt,3,1590.205480738078,1983.3355482645384,-4.674764432653692
1024,13,10,hypoxia,3,2812.221939155385,2812.221939155385,-25422.365631339802
1024,13,10,mhc,3,3217.08223971939,3217.08223971939,-19086.107806661075
1024,13,10,icp,3,-202.17643609216688,202.17643609216688,-617.393908019446
1024,13,10,ifng,3,687.0685636672943,687.0685636672943,-4212.98454438222
1024,13,10,toxic,3,-976.1613011906114,976.1613011906114,-4970.219584160435
1024,13,10,Glycolysis,3,1644.7480904569095,1644.7480904569095,-8026.827435022886
1024,13,10,Inflammatory_Response,3,1736.1593585125418,1736.1593585125418,-18.46055111976074
1024,13,10,IL6_JAK_STAT3,3,2264.7232109741813,2264.7232109741813,-18132.232499582737
1024,13,10,P53_Pathway,3,1262.3626155885875,1262.3626155885875,-6229.299263504494
1024,13,10,DNA_Damage_Response,3,381.3497494438388,381.3497494438388,-560.9114729292415
1024,13,10,Complement,3,474.5959146212017,474.5959146212017,-1680.3346664003186
1024,13,10,Coagulation,3,-1.951374216704039,483.5047722053764,-0.37972876788698184
1024,13,10,Oxidative_Phosphorylation,3,1853.788624420042,1853.788624420042,-13211.767132760695
